text,label
ไม่คุ้ม คุณภาพ.. มั้ง!,neg
เครื่องดื่ม คุณภาพแย่ 😡. มั้ง!! สุดๆ,neg
บริการดี ✨.. เลย,pos
ส่งของธรรมดา พอได้ นะะ..,neu
น่าประทับใจ หน้าเว็บ โคตรดี.. ค่่่่ะ~ ครับ,pos
ไม่ดี.. ครรรรับ… เลย,neg
ถูกใจ ราคาา 🤩.. ครับ จริงๆ,pos
ไม่คุ้ม รสชาติ 😞.?! ค่ะ,neg
ไม่มีความเห็น 😐.. ครับ.. ค่ะ,neu
ไม่โอเค พนักงาน 😤 ครับ!! มาก,neg
แย่มาก ส่งของ มากกกกๆ!! ค่ะ,neg
ถูกใจ บริการหลังการขาย 😍.. นะะะ!!! นะ,pos
ประทับใจ มากๆ มั้ง~ นะ,pos
ไม่ตรงปก อาหาร มากๆ.. นะ! เลย,neg
บริการดี 👍 ครััับ!! เลย,pos
ถูกใจ แพ็กของ 😍..~ ค่ะ,pos
ความเร็ว ปานกลาง.. ค่ะ.. ค่ะ,neu
พนักงานกลางๆ ทั่วไป.. ครับ,neu
บริการหลังการขายคุณภาพแย่.. ค่ะ! มาก,neg
ตามราคา แอป.. ค่ะ มั้ง,neu
สะอาด บริการหลังการขาย. ค่ะ!! ครับ,pos
เครื่องดื่ม ปานกลาง ครับ.,neu
ตามราคา บริการหลังการขาย ครับ. ค่ะ,neu
คุ้มค่ามาก อาหาร 😊.~ นะ,pos
คุ้มค่ามาก ส่งของ ✨.. ครับ! ค่ะ,pos
บริการดี สุดๆๆๆ.. ค่ะ จริงๆ,pos
แพ็กของก็พอใช้ได้ พอได้. ครับ. นะ,neu
ยังไม่แน่ใจ มั้้ง.. ครับ,neu
อร่อยมาก โคตรดี.. ค่ะ!!! เลย,pos
เครื่องดื่ม ยังไม่แน่ใจ.. มั้งงง นะ,neu
เกินคาด ✨.! ค่ะ,pos
งงมาก?! สุดๆ,neg
บริการหลังการขายต้องลองอีกสักพัก.. ค่ะ มั้ง,neu
ก็พอใช้ไไได้.. มั้ง,neu
ใช้งานง่าย แอป ที่สุดดด..!! นะ,pos
พนักงานธรรมดา ทั่วไป. มั้ง..,neu
ราคา ตามราคา นะ นะ,neu
ยอดเยี่ยม เครื่องดื่ม โคตรดี.. ครับบบ ค่ะ,pos
เกินคาด.. ค่ะ นะ,pos
บรรยากาศ ใช้ได้ ค่่่ะ.. มั้ง,neu
แพงเกินนนไป นะ…,neg
บริการดี 😊 มัััั้ง~ ครับ,pos
รสชาติงงมากก ครับ?! เลย,neg
แอป รวดเร็ว 😍..!! เลย,pos
ไม่คุ้ม แพ็กของ. นะ?! ค่ะ,neg
บริการดี ✨..~ ค่ะ,pos
น่าประทับใจ บรรยากาศ มากๆ..~ ค่ะ,pos
ใช้งานง่ายยยย ✨.. นนะ,pos
ยอดเยี่ยม พนักงาน ประทับใจมมาก ครับ,pos
เกินคาด มากกกๆ. ค่่่ะ!!! เลย,pos
พนักงาน เป็นมาตรฐานนนน. ค่ะ. ครับ,neu
ไม่คุ้ม แอป 😤. นะ!!! เลย,neg
ความเร็วชอบมาก มากๆ.. ครับ!!,pos
รวดเร็ว โคตรดีีี. มั้ง,pos
ไม่คุ้ม รสชาติ แย่มากๆ. มั้ง! สุดๆ,neg
พนักงานชอบมาก มากๆๆๆๆ ครับ~ นะ,pos
