text,label
"บริการดีมาก ประทับใจสุดๆ","pos"
"พนักงานยิ้มแย้มเป็นกันเอง","pos"
"ส่งของไวเกินคาด ดีมาก","pos"
"รสชาติอร่อย กลมกล่อม","pos"
"แพ็กของแน่นหนา คุณภาพดี","pos"
"เกินความคาดหมายเลยค่ะ","pos"
"ราคาคุ้มค่า สมเหตุสมผล","pos"
"ระบบใช้งานง่ายมาก ชอบ","pos"
"ตอบแชทไว บริการมืออาชีพ","pos"
"ร้านนี้เชื่อถือได้ ซื้อซ้ำแน่นอน","pos"
"สะอาดเรียบร้อย น่าเข้าใช้บริการ","pos"
"ฟีเจอร์ใหม่มีประโยชน์มาก","pos"
"แก้ปัญหาให้รวดเร็ว ขอบคุณค่ะ","pos"
"บรรยากาศดี นั่งสบาย","pos"
"จัดส่งถึงก่อนกำหนด ปลื้ม","pos"
"คุณภาพตรงปก ไม่ผิดหวัง","pos"
"ทีมงานดูแลดีมาก ใส่ใจรายละเอียด","pos"
"แนะนำเพื่อนต่อแน่นอน","pos"
"สินค้าทำงานได้ดีตามที่โฆษณา","pos"
"อาหารสดใหม่และอร่อยมาก","pos"
"ประสบการณ์ผู้ใช้ยอดเยี่ยม","pos"
"ตอบโจทย์การใช้งานของเราเลย","pos"
"ลดราคาดีมาก คุ้มสุดๆ","pos"
"หน้าเว็บสวย ใช้งานลื่นไหล","pos"
"ศูนย์บริการช่วยเหลือดีมาก","pos"
"ของแท้แน่นอน รับประกันดี","pos"
"แอปโหลดเร็ว ไม่หน่วง","pos"
"มีตัวเลือกหลากหลาย ครบถ้วน","pos"
"กระบวนการสั่งซื้อง่าย สะดวก","pos"
"ให้คะแนนเต็มสิบไม่หัก","pos"

"ปานกลาง ใช้ได้ทั่วไป","neu"
"เฉยๆ ไม่ได้รู้สึกอะไรเป็นพิเศษ","neu"
"คุณภาพโอเคตามราคา","neu"
"รสชาติธรรมดา ไม่เด่น","neu"
"บริการมาตรฐานทั่วไป","neu"
"เวลาจัดส่งพอใช้ ไม่ช้าไม่เร็ว","neu"
"ของตรงตามคำอธิบาย","neu"
"ใช้งานได้ แต่ยังไม่ประทับใจ","neu"
"ดีบ้างบางครั้ง บางทีก็เฉยๆ","neu"
"เหมาะกับงานพื้นฐานทั่วไป","neu"
"แพ็กกิ้งปกติ ไม่พิเศษ","neu"
"ตัวเลือกพอประมาณ ไม่มากไม่น้อย","neu"
"เป็นอีกหนึ่งทางเลือก","neu"
"กราฟิกกลางๆ อ่านง่าย","neu"
"ยังไม่มีความคิดเห็นเพิ่มเติม","neu"
"ระบบใช้งานได้ตามปกติ","neu"
"คงต้องลองใช้นานกว่านี้","neu"
"เหมาะกับมือใหม่ระดับหนึ่ง","neu"
"คุณภาพสม่ำเสมอพอใช้","neu"
"ราคาไม่ถูกไม่แพง","neu"
"เทสแล้วผลออกมากลางๆ","neu"
"คำตอบที่ได้พอเข้าใจได้","neu"
"ยังไม่เห็นความต่างชัดเจน","neu"
"ข้อมูลครบถ้วนในระดับหนึ่ง","neu"
"บริการตรงเวลาโดยรวม","neu"
"บรรจุภัณฑ์ธรรมดาทั่วไป","neu"
"เหมาะกับการใช้งานเบื้องต้น","neu"
"สถานที่โอเค ไม่อึดอัด","neu"
"ยังต้องรอดูอัปเดตต่อไป","neu"
"ไม่มีข้อสังเกตเป็นพิเศษ","neu"

"แย่มาก ผิดหวังสุดๆ","neg"
"บริการช้ามาก รอนานเกินไป","neg"
"พนักงานพูดจาไม่ดี","neg"
"ของเสียหาย ใช้งานไม่ได้","neg"
"รสชาติไม่อร่อยเลย","neg"
"แพ็กของหลวม ของพัง","neg"
"ส่งช้ากว่าที่แจ้งไว้มาก","neg"
"คุณภาพแย่กว่าที่คาดหวัง","neg"
"ราคาแพงเกินเหตุ ไม่คุ้ม","neg"
"ระบบล่มบ่อย ใช้งานไม่ได้","neg"
"รีฟันด์ช้ามาก ติดต่อยาก","neg"
"คำตอบไม่ช่วยแก้ปัญหา","neg"
"กลิ่นไม่ดี ไม่สด","neg"
"รูปไม่ตรงของ ผิดหวัง","neg"
"เว็บค้าง หลุดออกบ่อย","neg"
"เสียงดังรบกวน ใช้งานยาก","neg"
"วัสดุเปราะ แตกหักง่าย","neg"
"บรรยากาศแย่ ไม่น่าใช้บริการ","neg"
"ไร้มารยาท ไม่มืออาชีพ","neg"
"โฆษณาเกินจริง เชื่อถือไม่ได้","neg"
"อัปเดตแล้วแย่กว่าเดิม","neg"
"ขนส่งวางของหน้าบ้านหาย","neg"
"รอคิวเกินหนึ่งชั่วโมง","neg"
"ตอบแชทช้ามาก ไม่ใส่ใจ","neg"
"รสชาติเค็มจัดจนกินไม่ได้","neg"
"ชาร์จแบตไม่เข้า เครื่องดับ","neg"
"แพ็กเกจขาด ไม่มีซีล","neg"
"คู่มือไม่ชัด ทำตามยาก","neg"
"ไม่แนะนำให้ซื้ออีก","neg"
"บริการหลังการขายห่วย","neg"
